time,Bx,By,Bz,
2003-10-30 20:46:00.000,14175.60,1850.40,49697.10,
2003-10-30 20:47:00.000,14258.30,1843.60,49678.00,
2003-10-30 20:48:00.000,14266.30,1838.60,49651.00,
2003-10-30 20:49:00.000,14293.30,1825.70,49626.10,
2003-10-30 20:50:00.000,14400.80,1829.10,49623.70,
2003-10-30 20:51:00.000,14442.20,1817.40,49606.50,
2003-10-30 20:52:00.000,14425.30,1786.30,49588.60,
2003-10-30 20:53:00.000,14466.40,1790.20,49599.90,
2003-10-30 20:54:00.000,14512.90,1787.80,49620.90,
2003-10-30 20:55:00.000,14496.90,1771.10,49615.10,
2003-10-30 20:56:00.000,14480.20,1775.30,49606.90,
2003-10-30 20:57:00.000,14488.10,1784.80,49604.40,
2003-10-30 20:58:00.000,14512.90,1763.80,49603.40,
2003-10-30 20:59:00.000,14597.40,1769.90,49621.60,
2003-10-30 21:00:00.000,14673.90,1793.60,49625.80,
2003-10-30 21:01:00.000,14666.50,1800.20,49605.70,
2003-10-30 21:02:00.000,14620.40,1777.50,49576.60,
2003-10-30 21:03:00.000,14552.20,1759.20,49546.20,
2003-10-30 21:04:00.000,14532.50,1764.10,49534.00,
2003-10-30 21:05:00.000,14582.90,1773.90,49539.60,
2003-10-30 21:06:00.000,14578.40,1777.30,49537.50,
2003-10-30 21:07:00.000,14527.10,1788.30,49531.60,
2003-10-30 21:08:00.000,14547.10,1787.10,49548.60,
2003-10-30 21:09:00.000,14568.40,1752.50,49575.30,
2003-10-30 21:10:00.000,14556.60,1704.90,49591.60,
2003-10-30 21:11:00.000,14553.80,1714.30,49604.20,
2003-10-30 21:12:00.000,14490.30,1727.70,49596.40,
2003-10-30 21:13:00.000,14409.50,1724.80,49575.70,
2003-10-30 21:14:00.000,14335.90,1754.00,49558.80,
2003-10-30 21:15:00.000,14207.30,1758.20,49555.90,
2003-10-30 21:16:00.000,14092.80,1756.10,49579.90,
2003-10-30 21:17:00.000,13543.70,1968.20,49725.50,
2003-10-30 21:18:00.000,12901.10,2551.90,49755.80,
2003-10-30 21:19:00.000,12817.40,2872.90,49457.20,
2003-10-30 21:20:00.000,13057.20,2871.30,49535.00,
2003-10-30 21:21:00.000,13262.30,2735.30,49593.90,
2003-10-30 21:22:00.000,13423.30,2888.60,49703.10,
2003-10-30 21:23:00.000,13437.60,2650.30,49660.70,
2003-10-30 21:24:00.000,13357.10,2353.80,49432.80,
2003-10-30 21:25:00.000,13263.30,2323.30,49122.10,
2003-10-30 21:26:00.000,13097.40,2390.00,48877.00,
2003-10-30 21:27:00.000,12978.00,2191.80,48637.80,
2003-10-30 21:28:00.000,12861.10,2100.50,48503.60,
2003-10-30 21:29:00.000,12825.20,2012.10,48483.40,
2003-10-30 21:30:00.000,12817.30,1911.30,48497.10,
2003-10-30 21:31:00.000,12667.30,1907.40,48548.20,
2003-10-30 21:32:00.000,12537.70,1897.60,48544.20,
2003-10-30 21:33:00.000,12546.90,2003.80,48520.60,
2003-10-30 21:34:00.000,12380.90,2125.30,48525.20,
2003-10-30 21:35:00.000,12404.10,2127.30,48677.60,
2003-10-30 21:36:00.000,12686.40,2057.10,48927.30,
2003-10-30 21:37:00.000,12868.30,2041.90,49095.40,
2003-10-30 21:38:00.000,13027.60,1997.60,49262.30,
2003-10-30 21:39:00.000,13130.10,1918.60,49425.50,
2003-10-30 21:40:00.000,13221.90,1809.30,49498.20,
2003-10-30 21:41:00.000,13421.90,1737.70,49549.60,
2003-10-30 21:42:00.000,13570.70,1636.60,49564.70,
2003-10-30 21:43:00.000,13673.10,1604.00,49602.10,
2003-10-30 21:44:00.000,13695.10,1621.60,49589.10,
2003-10-30 21:45:00.000,13661.70,1636.20,49577.60,
2003-10-30 21:46:00.000,13638.20,1641.30,49612.30,
2003-10-30 21:47:00.000,13684.80,1672.50,49655.20,
2003-10-30 21:48:00.000,13884.30,1668.80,49696.50,
2003-10-30 21:49:00.000,13931.80,1681.40,49681.60,
2003-10-30 21:50:00.000,13855.90,1666.80,49629.10,
2003-10-30 21:51:00.000,13731.60,1648.10,49592.90,
2003-10-30 21:52:00.000,13601.10,1655.20,49641.40,
2003-10-30 21:53:00.000,13616.10,1662.60,49727.80,
2003-10-30 21:54:00.000,13680.10,1656.20,49790.20,
2003-10-30 21:55:00.000,13777.40,1668.20,49799.30,
2003-10-30 21:56:00.000,13861.00,1682.30,49799.90,
2003-10-30 21:57:00.000,13815.50,1686.70,49746.10,
2003-10-30 21:58:00.000,13754.60,1695.60,49704.10,
2003-10-30 21:59:00.000,13576.50,1764.90,49660.90,
2003-10-30 22:00:00.000,13491.50,1861.80,49650.70,
2003-10-30 22:01:00.000,13553.90,1897.10,49651.00,
2003-10-30 22:02:00.000,13650.40,1924.00,49669.80,
2003-10-30 22:03:00.000,13715.50,1918.80,49675.40,
2003-10-30 22:04:00.000,13767.60,1910.80,49675.80,
2003-10-30 22:05:00.000,13834.80,1898.10,49666.80,
2003-10-30 22:06:00.000,13954.50,1852.60,49714.10,
2003-10-30 22:07:00.000,14013.50,1789.00,49741.10,
2003-10-30 22:08:00.000,13985.30,1815.20,49745.00,
2003-10-30 22:09:00.000,13967.10,1833.40,49731.30,
2003-10-30 22:10:00.000,13887.50,1860.30,49702.90,
2003-10-30 22:11:00.000,13884.00,1890.90,49722.60,
2003-10-30 22:12:00.000,13865.10,1942.40,49738.90,
2003-10-30 22:13:00.000,13829.70,2003.80,49724.20,
2003-10-30 22:14:00.000,13808.30,1962.30,49713.90,
2003-10-30 22:15:00.000,13734.00,1999.50,49755.30,
2003-10-30 22:16:00.000,13592.20,1975.20,49755.20,
2003-10-30 22:17:00.000,13456.80,2058.40,49784.90,
2003-10-30 22:18:00.000,13542.50,2067.00,49838.90,
2003-10-30 22:19:00.000,13644.80,2027.60,49848.80,
2003-10-30 22:20:00.000,13634.10,2013.60,49823.00,
2003-10-30 22:21:00.000,13636.50,2034.10,49848.90,
2003-10-30 22:22:00.000,13636.50,2071.90,49908.90,
2003-10-30 22:23:00.000,13630.00,2131.40,49983.60,
2003-10-30 22:24:00.000,13681.20,2093.00,50046.50,
2003-10-30 22:25:00.000,13821.30,2029.30,50083.90,
2003-10-30 22:26:00.000,13864.20,1993.70,50078.70,
2003-10-30 22:27:00.000,13861.80,1956.00,50045.00,
2003-10-30 22:28:00.000,13842.10,1936.80,50018.10,
2003-10-30 22:29:00.000,13903.80,1932.30,50006.00,
2003-10-30 22:30:00.000,13934.30,1935.40,50017.70,
2003-10-30 22:31:00.000,13970.30,1825.20,50021.70,
2003-10-30 22:32:00.000,14053.60,1769.20,50014.90,
2003-10-30 22:33:00.000,14171.70,1739.20,50027.90,
2003-10-30 22:34:00.000,14284.50,1702.60,50046.90,
2003-10-30 22:35:00.000,14239.60,1708.40,50046.30,
2003-10-30 22:36:00.000,14256.80,1749.10,50047.90,
2003-10-30 22:37:00.000,14262.10,1755.90,50007.70,
2003-10-30 22:38:00.000,14263.10,1743.70,49972.60,
2003-10-30 22:39:00.000,14277.50,1765.10,49985.70,
2003-10-30 22:40:00.000,14369.20,1710.00,49975.10,
2003-10-30 22:41:00.000,14438.30,1694.30,49962.80,
2003-10-30 22:42:00.000,14400.30,1694.30,49937.30,
2003-10-30 22:43:00.000,14317.80,1708.60,49918.60,
2003-10-30 22:44:00.000,14233.30,1739.90,49889.80,
2003-10-30 22:45:00.000,14254.60,1722.50,49893.30,
2003-10-30 22:46:00.000,14310.40,1719.70,49908.80,
2003-10-30 22:47:00.000,14282.40,1753.60,49916.20,
2003-10-30 22:48:00.000,14280.10,1771.90,49938.80,
2003-10-30 22:49:00.000,14336.30,1771.10,49959.90,
2003-10-30 22:50:00.000,14352.40,1745.30,49967.30,
2003-10-30 22:51:00.000,14378.10,1744.50,49973.80,
2003-10-30 22:52:00.000,14418.70,1743.30,49978.40,
2003-10-30 22:53:00.000,14436.60,1738.00,49975.50,
2003-10-30 22:54:00.000,14441.30,1730.30,49965.30,
2003-10-30 22:55:00.000,14438.10,1723.50,49956.00,
2003-10-30 22:56:00.000,14397.70,1705.10,49939.10,
2003-10-30 22:57:00.000,14357.50,1674.50,49924.20,
2003-10-30 22:58:00.000,14367.90,1648.50,49918.40,
2003-10-30 22:59:00.000,14431.90,1632.80,49923.30,
