time,Bx,By,Bz,
2003-10-30 04:15:00.000,14823.80,1711.20,49689.10,
2003-10-30 04:16:00.000,14833.70,1713.50,49694.00,
2003-10-30 04:17:00.000,14832.50,1713.90,49700.70,
2003-10-30 04:18:00.000,14815.20,1716.70,49698.80,
2003-10-30 04:19:00.000,14798.90,1722.40,49699.20,
2003-10-30 04:20:00.000,14805.80,1719.80,49702.00,
2003-10-30 04:21:00.000,14814.70,1714.30,49702.00,
2003-10-30 04:22:00.000,14806.40,1711.90,49697.30,
2003-10-30 04:23:00.000,14796.30,1707.80,49692.60,
2003-10-30 04:24:00.000,14793.20,1706.80,49690.40,
2003-10-30 04:25:00.000,14795.60,1709.30,49688.30,
2003-10-30 04:26:00.000,14798.60,1707.60,49687.50,
2003-10-30 04:27:00.000,14799.70,1703.50,49690.40,
2003-10-30 04:28:00.000,14789.90,1705.10,49692.40,
2003-10-30 04:29:00.000,14779.70,1706.50,49687.30,
2003-10-30 04:30:00.000,14778.20,1702.30,49685.80,
2003-10-30 04:31:00.000,14784.30,1699.70,49689.90,
2003-10-30 04:32:00.000,14787.50,1703.90,49693.70,
2003-10-30 04:33:00.000,14771.20,1703.30,49687.90,
2003-10-30 04:34:00.000,14765.00,1702.10,49687.40,
2003-10-30 04:35:00.000,14764.90,1701.40,49690.40,
2003-10-30 04:36:00.000,14762.40,1699.20,49691.70,
2003-10-30 04:37:00.000,14755.00,1701.00,49693.30,
2003-10-30 04:38:00.000,14758.40,1707.10,49697.50,
2003-10-30 04:39:00.000,14766.20,1706.90,49700.60,
2003-10-30 04:40:00.000,14785.30,1707.20,49708.30,
2003-10-30 04:41:00.000,14801.60,1705.60,49717.00,
2003-10-30 04:42:00.000,14795.60,1707.10,49719.90,
2003-10-30 04:43:00.000,14789.80,1710.60,49721.80,
2003-10-30 04:44:00.000,14796.50,1712.60,49724.30,
2003-10-30 04:45:00.000,14823.80,1711.50,49734.70,
2003-10-30 04:46:00.000,14834.80,1711.30,49738.40,
2003-10-30 04:47:00.000,14829.10,1709.90,49737.20,
